projectId,fundingYear,C2B2_relevant,C2B2_keywords,C2B2_comment,projectTitleEn
P2023-00899_Energi,2023,0,offshore wind power ; technical development,,WIND-DIGIPOWER - Large-scale wind integration for the future digital power grid using innovative power electronics control and communication-based estimations
2024-04662_VR,2025,4,methane ; emissions ; Baltic ; field studies ; fieldwork data ; water column data,,The highest bubble streams on record raise questions on methane emissions from the deep Baltic Sea.
22-PR2-0003_OS,2023,0,food ; knowledge exchange platforms ; ethnographic fieldwork ; stakeholder engagement,,"Organizing REKO: The Viability of a Local Food System in Finland, Sweden & Latvia"
2024-00909_Vinnova,2024,0,offshore energy ; project application,,Demonstrera tillförlitlighet hos havsbaserad energi i realistiska miljöer till havs
2024-00303_Vinnova,2024,0,ship operations ; models ; multiple actors,,Demonstrating Data-Based Digital Twin Modeling Use Cases Towards Maritime Net Zero
2023-00505_VR,2025,0,Gender Studies ; research visits,,"Manuela Boatcă - Albert Ludwig University Freiburg, Germany"
2023-00297_Formas,2023,5,stakeholder engagement ; environmental conditions ; marine food web ; marine ecosystem management ; multiple actors ; Living Lab,Looks like C2B2!! but for near-shore!,"Facilitating Ocean Recovery in a Changing climatE: barriers, surprises and windows of opportunity (FORCE)"
2023-01031_Formas,2024,0,marine ; bacteria ; microbial ; organic matter ; lab study ; field studies,,Effects of nutrient stoichiometry on marine bacteria and organic matter cycling
2023-01384_Formas,2024,0,Arctic ; terrestrial organic matter ; river discharge ; sediment cores,,Climate change and Carbon Burial in the Beaufort Sea (CarBBeau)
2023-03310_VR,2024,0,viruses ; bacteria ; marine ; genomics ; lab study,,Viral Transmission in the Dynamic Environment of Surface Microlayers and Rainwater (VIRTIDE)
23-RN-0003_OS,2023,2,sustainable development ; island communities ; ethnographic fieldwork,,Mapping key challenges to sustainability on islands in the Baltic Sea and Eastern Europe
2024-00580_Formas,2025,0,cyanobacteria ; genetic engineering ; lab study,,Eco-Nfix: Engineering nitrogen fixation in a fast-growing cyanobacterium for sustainable bio-fertilizer production
2023-01292_Formas,2024,0,Arctic charr ; aquaculture ; breeding,,Boosting the reproductive performance of Arctic charr using high-throughput sequencing technologies
2023-04005_VR,2024,1,phytoplankton ; carbon sequistration ; field studies ; ,,Carbon export of the smallest phytoplankton
2024-00337_Formas,2025,3,seaweed farming ; carbon sequistration ; field studies ; lab study,,Carbon sequestration from seaweed farming and natural seaweed habitats: an overlooked solution for climate change mitigation?
22-PR2-0004_OS,2023,0,school dropout ; register study,,"School Dropout and the Post-Dropout Trajectories of Young People in Sweden and Finland: A Longitudinal, Multi-Method Comparative Study"
